state,cantidad,localidad
Puerto Rico,96,"Los Angeles, CA"
Puerto Rico,6,Dorado
Puerto Rico,13,"Englewood, Florida"
Puerto Rico,5,"San Antonio, TX"
Puerto Rico,6,"Yauco, Puerto Rico"
Puerto Rico,2,"Rio Grande Valley, Texas"
Puerto Rico,1,"Las Piedras, Peru"
Puerto Rico,2,"San Juan, Brooklyn, LA "
Puerto Rico,10,North Carolina
Massachusetts,3,"Amherst, NY"
Massachusetts,12,"Rochester, NY"
Massachusetts,2,"Huntington, WV"
Massachusetts,2,"Leeds, West Yorkshire"
Massachusetts,1,"North Plainfield, NJ"
Massachusetts,3,"Russell, KS"
Massachusetts,2,"Southampton, UK"
Massachusetts,2,South Wales
Massachusetts,8,Delaware
Massachusetts,2,"Warren, OH"
Massachusetts,1,"Williamsburg, Brooklyn"
Massachusetts,3,"Worthington, Ohio"
Massachusetts,6,"Springfield, Illinois"
Massachusetts,1,"Pittsfield, MA"
Massachusetts,1,"Glendale, Arizona"
Massachusetts,5,"Great Barrington, MA"
Massachusetts,3,"Fort Lee, NJ"
Massachusetts,11,"Monterey County, CA"
Massachusetts,9,"Richmond, VA"
Massachusetts,2,Sheffield
Massachusetts,1,"Boston, MA / Stockbridge, MA"
Massachusetts,1,Windsor& Los Angeles-Cali Life
Massachusetts,4,"Conway, AR"
Massachusetts,1,Deerfield
Massachusetts,1,Bexleyheath
Massachusetts,5,"Orange County, CA"
Massachusetts,1,"Wendell, NC"
Massachusetts,1,"Westminster, CO"
Massachusetts,3,Harvard Professor & MD
Massachusetts,4,"Littleton, CO"
Massachusetts,1,"Port Townsend, WA"
Massachusetts,1,"Auburn, ME"
Massachusetts,2,"West Berlin, NJ"
Massachusetts,2,"Brookfield, WI"
Massachusetts,1,"Clinton, CT "
Massachusetts,3,"Douglaston, NY"
Massachusetts,1,"millville,nj"
Massachusetts,6,"Oxford, MS"
Massachusetts,5,"Princeton, NJ"
Massachusetts,2,"Sterling Heights, MI"
Massachusetts,1,"Webster Groves, MO"
Massachusetts,2,"Worcester, UK"
Massachusetts,6,"Bedford, NH"
